DefaultSC.A1ModJulian     DefaultSC.MOON_INERTIAL.X   DefaultSC.MOON_INERTIAL.Y   DefaultSC.MOON_INERTIAL.Z   DefaultSC.MOON_INERTIAL.VX   DefaultSC.MOON_INERTIAL.VY   DefaultSC.MOON_INERTIAL.VZ   DefaultSC.ElapsedSecs     
21544.99962789878         7000                        0                           0                           0                            0.8368990878020907           0                            0                         
21545.00032234322         6999.819894497341           50.21351454500109           1.436419552192092e-07       -0.00600349100106512         0.8368775527180971           4.889176230538084e-09        59.99999988125637         
21545.00101678767         6999.279587259574           100.4244450263795           5.988258635625243e-07       -0.01200667301844283         0.8368129527181416           1.038483410376045e-08        120.0000000768341         
21545.00171123211         6998.379106093023           150.6302076378488           1.401946065016091e-06       -0.01800923714380798         0.8367052911274026           1.648640818308067e-08        179.9999999580905         
21545.00240567656         6997.11849733768            200.8282188391895           2.589309588074684e-06       -0.02401087450065165         0.8365545734868005           2.3193270526356e-08          240.0000001536682         
21545.003100121           6995.497825864935           251.015895488963            4.197223461233079e-06       -0.03001127626017441         0.836360807552712            3.050473085242089e-08        300.0000000349246         
21545.00379456544         6993.517175073794           301.190654977574            6.261951057240367e-06       -0.03601013365717631         0.8361240032965707           3.84200367076204e-08         359.999999916181          
21545.00448900989         6991.176646887092           351.3499153603334           8.819682989269495e-06       -0.04200713800594413         0.8358441729043535           4.69383732437656e-08         420.0000001117587         
21545.00518345433         6988.47636174591            401.4910954899387           1.190659531857818e-05       -0.0480019807161346          0.8355213307759527           5.605886371773394e-08        479.9999999930151         
21545.00587789878         6985.416458603577           451.6116151495371           1.555877679493278e-05       -0.05399435330865165         0.8351554935244349           6.57805689918689e-08         539.9999998742715         
21545.00657234322         6981.997094918392           501.7088951854385           1.981227251235396e-05       -0.05998394743151958         0.8347466799751854           7.610248820011378e-08        600.0000000698492         
21545.00726678767         6978.218446645478           551.7803576398292           2.470305480528623e-05       -0.06597045487574815         0.834294911164939            8.702355824841135e-08        659.9999999511056         
21545.00796123211         6974.080708227993           601.8234258834855           3.026705235242844e-05       -0.07195356759119143         0.8338002103406972           9.854265448083765e-08        720.0000001466833         
21545.00865567656         6969.584092586767           651.8355247480795           3.654012107290328e-05       -0.07793297770239749         0.8332626029585313           1.106585902355128e-07        780.0000000279397         
21545.009350121           6964.728831109591           701.8140806591255           4.355800047051162e-05       -0.08390837752444991         0.8326821166822715           1.233701172886903e-07        839.999999909196          
21545.01004456545         6959.515173639345           751.7565217679949           5.13564154971391e-05        -0.08987945957879917         0.8320587813820839           1.366759257992456e-07        900.0000001047738         
21545.01073900989         6953.943388460786           801.6602780845133           5.997097468934953e-05       -0.09584591660908293         0.831392629132932            1.505746444752099e-07        959.9999999860302         
21545.01143345433         6948.013762287272           851.5227816090919           6.943719927221537e-05       -0.1018074415969357          0.8306836942129263           1.650648405737698e-07        1019.999999867287         
21545.01212789878         6941.726600245456           901.3414664648008           7.979055226314813e-05       -0.1077637277777856          0.8299320131015594           1.801450201788235e-07        1080.000000062864         
21545.01282234322         6935.082225860155           951.1137690295582           9.106636571232229e-05       -0.1137144686566387          0.8291376244778286           1.958136282009804e-07        1139.999999944121         
21545.01351678767         6928.080981037114           1000.837128067971           0.0001032999280141667       -0.1196593580238483          0.8283005692182452           2.120690483775611e-07        1200.000000139698         
21545.01421123211         6920.723226045899           1050.508984863001           0.0001165263674920425       -0.1255980899708709          0.8274208903947307           2.289096038277094e-07        1260.000000020955         
21545.01490567655         6913.009339501092           1100.126783347863           0.0001307807397097349       -0.1315303589060054          0.8264986332723988           2.463335566083025e-07        1319.999999902211         
21545.015600121           6904.939718342852           1149.687970237399           0.0001460980129195377       -0.1374558595701174          0.825533845307228            2.643391083245739e-07        1380.000000097789         
21545.01629456544         6896.514777816541           1199.189995159337           0.0001625130244065076       -0.1433742870523448          0.8245265761436162           2.8292439996358e-07          1439.999999979045         
21545.01698900989         6887.734951451363           1248.630310785782           0.0001800605095922947       -0.1492853368057864          0.8234768776118282           3.02087512227267e-07         1499.999999860302         
21545.01768345433         6878.600691038009           1298.006372964184           0.0001987750438274816       -0.1551887046631718          0.8223848037253263           3.218264655879821e-07        1560.000000055879         
21545.01837789878         6869.112466605438           1347.315640848188           0.0002186911588069052       -0.1610840868525111          0.8212504106779915           3.421392204550067e-07        1619.999999937136         
21545.01907234322         6859.270766396599           1396.55557702831            0.0002398431824985892       -0.166971180012725           0.8200737568412314           3.630236772855788e-07        1680.000000132713         
